protein_name,kingdom,n_residues,n_frames_geo,n_frames_graph,rg,rg_err,ree,ree_err,delta,delta_err,nu,nu_err,A0,A0_err,fragmentation_index,fragmentation_index_std,global_efficiency,global_efficiency_std,avg_clustering,avg_clustering_std,transitivity,transitivity_std,degree_assortativity,degree_assortativity_std
A0A014QYM5,Fungi,146,200,50,3.332371234893799,0.0491084668577355,8.01466178894043,0.2255077581993815,0.3759348690509796,0.0134942418351011,0.5004695665030732,0.0008581019149111,0.6455007810130853,0.0023259857797492,0.9973972602739728,0.0091780821917808,0.1374578211027548,0.0176726323578057,0.1100098934550989,0.029144506297602,0.1602778194292597,0.038604393586844,0.3561647393975825,0.0986492667852727
A0A015JIE0,Fungi,110,200,50,3.096258640289306,0.0464298070418862,7.599803924560547,0.1936086293053415,0.4269339740276336,0.0142458244575004,0.5550797986738134,0.0012683624639304,0.5620330251701822,0.002818104716137,0.999090909090909,0.0041659779045052,0.1589803542049066,0.0242338009825146,0.0925155844155844,0.0349456924937185,0.1369912172844214,0.0379446989565608,0.3177421536653839,0.1042831481693492
A0A015JUN3,Fungi,50,200,50,1.9784289598464968,0.027213362395117,4.706584453582764,0.11773474308049,0.4286230206489563,0.0137861214050936,0.5365957874319254,0.0021535715529603,0.5930574724082649,0.0040685738505001,0.9992,0.0056,0.236162933667066,0.0303633310429534,0.0825298412698412,0.0388048126318929,0.1171723991552397,0.0478645107476862,0.2374269335058509,0.0999354254131504
A0A016UXC2,Protists,127,200,50,3.2342607975006104,0.0506511805978343,7.635112285614014,0.216756572020713,0.4132111370563507,0.0136575830001763,0.5365272460142632,0.0005914999196632,0.5841452690764279,0.0014109893968099,0.9993700787401576,0.0030859713294906,0.1538386873497749,0.0193715837507075,0.1220498687664041,0.0322183022439762,0.1593834161702556,0.0338179685790319,0.296182007613994,0.0842456934959511
A0A016W122,Protists,85,200,50,2.4291696548461914,0.033971818180739,5.67059326171875,0.1436595730568502,0.395221471786499,0.0127289551649085,0.5142839557693967,0.0008285389439145,0.5899237592142685,0.0017988411596288,0.9983529411764708,0.0066592807990987,0.2009548759784684,0.0282410713568594,0.1377123164417282,0.0421876340086101,0.1771229570712371,0.0422686083696853,0.2865583332361583,0.1195587322604796
A0A059D3A3,Plants,41,200,50,2.0731563568115234,0.0249070067655887,5.083731174468994,0.1209328206573875,0.5350955724716187,0.0130731695303682,0.6308345850024466,0.0036885690051948,0.5301273147971146,0.0059436541091902,0.995609756097561,0.0307317073170731,0.2356242540426857,0.0241324637316443,0.0605447154471544,0.0551263047230157,0.092840289455499,0.083816896943848,0.2420783985077073,0.1348738915502173
A0A059IY03,Fungi,97,200,50,2.660353899002075,0.0397663228573562,6.066665172576904,0.1805854891378269,0.3940586447715759,0.0124368490556053,0.4656453108639688,0.0019238843224463,0.7181408859651863,0.0052227288239251,0.9997938144329896,0.0014432989690721,0.1779696397752951,0.0229875522700219,0.1000440041058597,0.0340258767026045,0.1445264653774032,0.0434039828131265,0.3095077972146725,0.1157735164106009
A0A059J365,Fungi,246,203,51,4.593400955200195,0.0766841386105696,10.773249626159668,0.3170441478197427,0.4034956097602844,0.0135871608600323,0.5073901253811117,0.0004718866400471,0.6614824224811239,0.0014724861231615,0.9997608799617408,0.0009564801530368,0.1026454960821426,0.0149998923066898,0.1042769649536746,0.0261601745976822,0.1477225550384805,0.0261061818667841,0.3490078927450865,0.0809392384316969
A0A060BGV2,Viruses,32,200,50,1.932755708694458,0.0197066377830599,4.946872711181641,0.1019136000808827,0.5744997262954712,0.013016729631856,0.6858578514935001,0.0083150500935526,0.5008210424186604,0.0117821933631977,0.971875,0.1048156864453026,0.2501898468277014,0.0353712951487659,0.0366041666666666,0.0441632319812282,0.0588529296152493,0.0719504501274675,0.2092251399994475,0.1716967153412698
A0A061D931,Protists,187,203,51,3.220754861831665,0.0468423557413653,7.00275182723999,0.2130109959886587,0.3113571405410766,0.0114773127380119,0.3834354149944872,0.0007841851360397,0.903897436591325,0.0030929237069237,0.9907727797001152,0.0607884656302431,0.1434847423333468,0.0212183990825669,0.1194728558522204,0.0257352574448693,0.1650817114093299,0.0266966630574485,0.3640193523397424,0.0729629250443227
A0A061HVY4,Mammals,71,200,50,3.379777193069458,0.0419285826265106,8.278348922729492,0.1897043307054257,0.5414262413978577,0.0139803256536621,0.6403005472560398,0.0053840708618907,0.5877502007151937,0.0112935436968273,0.9709859154929578,0.0996884653358037,0.1511864727521998,0.020799066963909,0.0438716744913928,0.0348162150463772,0.0932493991586509,0.0667909477320398,0.3933698478504971,0.1376377422525611
A0A061HXT4,Mammals,105,200,50,4.779419898986816,0.0587734515030233,11.62856674194336,0.2798899379854245,0.5119411945343018,0.0142653985076201,0.6632726101928581,0.0012244247017523,0.5961371924800781,0.0028921180968393,0.9838095238095238,0.0539841246505462,0.1145187847479008,0.0073643923738004,0.0221523809523809,0.0170066653599894,0.0418762282031318,0.0330137550852784,0.3086934843774445,0.1014683434554231
A0A061HZH3,Mammals,69,200,50,3.441124200820923,0.0439227818372278,8.327844619750977,0.1866710725943149,0.5822578072547913,0.0141517590136514,0.6536675954898942,0.006516102978333,0.580257119381673,0.0134117012962507,0.9869565217391304,0.083418356122656,0.1575460233794937,0.0219047390198547,0.0449873475960432,0.0345281681419963,0.0960022407772252,0.0683663809244513,0.3628295859640014,0.145923271403433
A0A061IB06,Mammals,73,200,50,3.9185826778411865,0.0466625883008967,9.97218894958496,0.212584017159395,0.5809707045555115,0.0149570915119566,0.6956404532717438,0.0041289539760172,0.5535149199043923,0.0082742484447698,0.9293150684931508,0.1254710770669241,0.1316318857233148,0.0175010622568688,0.0311985214176995,0.0254347634329442,0.0680870681961201,0.0582095884435779,0.3717734479346663,0.1661053330540229
A0A061IMD4,Mammals,83,200,50,4.242527961730957,0.0492479476381974,10.048761367797852,0.21555432473757,0.5809296369552612,0.0138115844236215,0.6742190170253246,0.0033388419120148,0.5923936578239896,0.0073904777724416,0.9773493975903612,0.0818440394851401,0.126580399355014,0.011811706046533,0.0352885829030407,0.0231578779973093,0.0745942824595578,0.0509907877336431,0.3745640375433878,0.1361216452457612
A0A061IP55,Mammals,124,200,50,4.860209941864014,0.0682407758581647,10.861573219299316,0.2922581161270798,0.5324609279632568,0.0131863001011411,0.6158417020041612,0.0027270771550387,0.6498980168890149,0.0072712729159393,0.9251612903225808,0.1527415096904512,0.1046356429165889,0.0137694321562626,0.044110599078341,0.0263904257918994,0.0953543183489545,0.0454747947403545,0.4201984142648843,0.0928189000533371
A0A066XK39,Fungi,89,200,50,2.6445019245147705,0.0424534668338107,6.082848072052002,0.1845174192116264,0.4125910103321075,0.0137659910165736,0.4992765130225493,0.0025430075639778,0.6611181065563201,0.0062481593591842,1.0,0.0,0.183751854884318,0.0249216746056692,0.1088692705546638,0.0366184604987598,0.1493104707228512,0.0482590080256782,0.3030832133048095,0.1083912375473777
A0A067BMR2,Protists,116,200,50,2.8816068172454834,0.0417920226226505,6.846871376037598,0.1867608959578613,0.4014236032962799,0.0126865259325126,0.5195470739746808,0.0004418235367961,0.5830246402503808,0.0010266048297404,0.9955172413793104,0.0290167854984985,0.1724990792840087,0.0279795709893128,0.133330198537095,0.0336202160579818,0.1719154829794207,0.0329339803717395,0.3121728817165129,0.1055088088981871
A0A067KW53,Plants,68,200,50,3.3885726928710938,0.0414166290723336,8.307718276977539,0.189032088471677,0.5709583163261414,0.0132870089419867,0.6367586641079584,0.00795458839554,0.6091997097151725,0.0170835600685445,0.9502941176470588,0.109926445996456,0.1529979997434387,0.0244597506656662,0.0277612044817927,0.0264320521982722,0.0548499829417637,0.0463550852502028,0.3345112878943774,0.1195937569927532
A0A067S574,Fungi,63,200,50,2.1753039360046387,0.0306849034765502,5.073492527008057,0.143880742859096,0.4101351499557495,0.0129474402129041,0.5284035847257431,0.0009320256658171,0.5910572321327109,0.0018731213990931,0.9946031746031748,0.0223601163846861,0.2236025343665594,0.0329340372314381,0.1059065255731922,0.0431026638869198,0.1515536272966166,0.0504112310885594,0.2880469023645795,0.1195414289374532
A0A068LKJ5,Viruses,80,200,50,3.145504713058472,0.0361788800498605,7.784813404083252,0.1636664628813593,0.4954330325126648,0.0130889208613279,0.6318778849796661,0.0014265235777002,0.5242605462172456,0.0027529562374635,0.99175,0.045867335872056,0.1644078970461202,0.0165565838592585,0.0790164682539682,0.0385952870562842,0.1233337994001932,0.0542552798268329,0.3304037633687176,0.1158351183837771
A0A068QKP9,Viruses,89,200,50,3.7999517917633057,0.0404755152331945,9.620227813720703,0.1989344062356145,0.5111738443374634,0.0128872355471487,0.6629303781291681,0.0007731143744163,0.5291403928747282,0.0015544155731362,0.9937078651685394,0.0261254680976784,0.1375947248785596,0.0076396929252915,0.0440203317281969,0.0248436747379938,0.074309114218273,0.0388864900773926,0.2958996164657118,0.0937582409285177
A0A068RVW1,Fungi,86,200,50,2.641286611557007,0.0418700280098744,6.160182952880859,0.1809406184833797,0.4224594533443451,0.0136625837237521,0.5386934363173091,0.0009886879524125,0.5850244272615625,0.0021428602549418,0.9862790697674418,0.0575641293571136,0.1813322272305886,0.0270814209483037,0.1103844592100406,0.0440175875505591,0.1535018808866705,0.0592110026638483,0.3057089648236973,0.1275362467770636
A0A068S1R8,Fungi,94,200,50,2.635490655899048,0.0375335008344249,6.011085033416748,0.1733506791336227,0.4092165827751159,0.0131712357638121,0.5248023774215349,0.0018958811581669,0.5851538694992326,0.0041973735917989,0.9997872340425532,0.0014893617021276,0.1854141934818586,0.0210950367880308,0.1192622424856467,0.0420691311734018,0.1607686794699831,0.0431870504417216,0.3262835467067665,0.1255449728984905
A0A072UKH3,Plants,134,200,50,3.3259966373443604,0.0457763243704096,7.625014781951904,0.2052251099744353,0.4140337705612182,0.0127605094567174,0.5230261970456284,0.0004164860039548,0.6150651202579769,0.0010575826750562,0.99955223880597,0.0023170409994418,0.1433911851885478,0.0214405419988608,0.1098888135082164,0.0312916258139122,0.1622815650619619,0.0355785210176424,0.3461735541508886,0.1050920892021655
A0A072V3L5,Plants,72,200,50,1.8580660820007324,0.017594574910482,3.0856282711029053,0.0822036348041328,0.2722901403903961,0.0109984508729133,0.2,0.008161324687777,1.377564858294458,0.0373764174988588,0.9994444444444444,0.0038888888888888,0.2419385925540203,0.0235940703894656,0.1032947931697931,0.0354500724451129,0.1560480529670318,0.0439633268201321,0.3223700758839365,0.119887654129538
A0A075FGF0,Viruses,216,203,51,3.306211233139038,0.0477584005196948,7.030791759490967,0.2217777164560779,0.2811857461929321,0.0114449769472,0.2893768126215023,0.0016299708722341,1.3116126104920134,0.0094681292000201,0.9947349310094408,0.0327623421451184,0.133942185315825,0.0199034551311602,0.1126475880288516,0.023397732634015,0.1564613781901507,0.0241354450422688,0.3807757634502959,0.0810252924420258
